StartDate,FacilityLongName,numvisits,year,week,month,month.year
2009-07-09,Lions Gate Hospital,136,2009,27,07,07-09
2009-07-10,Lions Gate Hospital,117,2009,27,07,07-09
2009-07-11,Lions Gate Hospital,141,2009,27,07,07-09
2009-07-12,Lions Gate Hospital,132,2009,28,07,07-09
2009-07-13,Lions Gate Hospital,145,2009,28,07,07-09
2009-07-14,Lions Gate Hospital,130,2009,28,07,07-09
2009-07-15,Lions Gate Hospital,153,2009,28,07,07-09
2009-07-16,Lions Gate Hospital,115,2009,28,07,07-09
2009-07-17,Lions Gate Hospital,130,2009,28,07,07-09
2009-07-18,Lions Gate Hospital,126,2009,28,07,07-09
2009-07-19,Lions Gate Hospital,128,2009,29,07,07-09
2009-07-20,Lions Gate Hospital,133,2009,29,07,07-09
2009-07-21,Lions Gate Hospital,137,2009,29,07,07-09
2009-07-22,Lions Gate Hospital,136,2009,29,07,07-09
2009-07-23,Lions Gate Hospital,122,2009,29,07,07-09
2009-07-24,Lions Gate Hospital,121,2009,29,07,07-09
2009-07-25,Lions Gate Hospital,143,2009,29,07,07-09
2009-07-26,Lions Gate Hospital,161,2009,30,07,07-09
2009-07-27,Lions Gate Hospital,156,2009,30,07,07-09
2009-07-28,Lions Gate Hospital,149,2009,30,07,07-09
2009-07-29,Lions Gate Hospital,148,2009,30,07,07-09
2009-07-30,Lions Gate Hospital,154,2009,30,07,07-09
2009-07-31,Lions Gate Hospital,126,2009,30,07,07-09
2009-08-01,Lions Gate Hospital,152,2009,30,08,08-09
2009-08-02,Lions Gate Hospital,163,2009,31,08,08-09
2009-08-03,Lions Gate Hospital,156,2009,31,08,08-09
2009-08-04,Lions Gate Hospital,159,2009,31,08,08-09
2009-08-05,Lions Gate Hospital,147,2009,31,08,08-09
2009-08-06,Lions Gate Hospital,141,2009,31,08,08-09
2009-08-07,Lions Gate Hospital,113,2009,31,08,08-09
2009-08-08,Lions Gate Hospital,137,2009,31,08,08-09
2009-08-09,Lions Gate Hospital,152,2009,32,08,08-09
2009-08-10,Lions Gate Hospital,132,2009,32,08,08-09
2009-08-11,Lions Gate Hospital,136,2009,32,08,08-09
2009-08-12,Lions Gate Hospital,145,2009,32,08,08-09
2009-08-13,Lions Gate Hospital,131,2009,32,08,08-09
2009-08-14,Lions Gate Hospital,122,2009,32,08,08-09
2009-08-15,Lions Gate Hospital,132,2009,32,08,08-09
2009-08-16,Lions Gate Hospital,167,2009,33,08,08-09
2009-08-17,Lions Gate Hospital,143,2009,33,08,08-09
2009-08-18,Lions Gate Hospital,139,2009,33,08,08-09
2009-08-19,Lions Gate Hospital,151,2009,33,08,08-09
2009-08-20,Lions Gate Hospital,131,2009,33,08,08-09
2009-08-21,Lions Gate Hospital,148,2009,33,08,08-09
2009-08-22,Lions Gate Hospital,147,2009,33,08,08-09
2009-08-23,Lions Gate Hospital,144,2009,34,08,08-09
2009-08-24,Lions Gate Hospital,129,2009,34,08,08-09
2009-08-25,Lions Gate Hospital,143,2009,34,08,08-09
2009-08-26,Lions Gate Hospital,127,2009,34,08,08-09
2009-08-27,Lions Gate Hospital,144,2009,34,08,08-09
2009-08-28,Lions Gate Hospital,143,2009,34,08,08-09
2009-08-29,Lions Gate Hospital,130,2009,34,08,08-09
2009-08-30,Lions Gate Hospital,126,2009,35,08,08-09
2009-08-31,Lions Gate Hospital,163,2009,35,08,08-09
2009-09-01,Lions Gate Hospital,137,2009,35,09,09-09
2009-09-02,Lions Gate Hospital,136,2009,35,09,09-09
2009-09-03,Lions Gate Hospital,105,2009,35,09,09-09
2009-09-04,Lions Gate Hospital,117,2009,35,09,09-09
2009-09-05,Lions Gate Hospital,122,2009,35,09,09-09
2009-09-06,Lions Gate Hospital,118,2009,36,09,09-09
2009-09-07,Lions Gate Hospital,158,2009,36,09,09-09
2009-09-08,Lions Gate Hospital,149,2009,36,09,09-09
2009-09-09,Lions Gate Hospital,127,2009,36,09,09-09
2009-09-10,Lions Gate Hospital,117,2009,36,09,09-09
2009-09-11,Lions Gate Hospital,144,2009,36,09,09-09
2009-09-12,Lions Gate Hospital,155,2009,36,09,09-09
2009-09-13,Lions Gate Hospital,139,2009,37,09,09-09
2009-09-14,Lions Gate Hospital,133,2009,37,09,09-09
2009-09-15,Lions Gate Hospital,128,2009,37,09,09-09
2009-09-16,Lions Gate Hospital,119,2009,37,09,09-09
2009-09-17,Lions Gate Hospital,127,2009,37,09,09-09
2009-09-18,Lions Gate Hospital,138,2009,37,09,09-09
2009-09-19,Lions Gate Hospital,129,2009,37,09,09-09
2009-09-20,Lions Gate Hospital,139,2009,38,09,09-09
2009-09-21,Lions Gate Hospital,133,2009,38,09,09-09
2009-09-22,Lions Gate Hospital,116,2009,38,09,09-09
2009-09-23,Lions Gate Hospital,126,2009,38,09,09-09
2009-09-24,Lions Gate Hospital,131,2009,38,09,09-09
2009-09-25,Lions Gate Hospital,139,2009,38,09,09-09
2009-09-26,Lions Gate Hospital,136,2009,38,09,09-09
2009-09-27,Lions Gate Hospital,156,2009,39,09,09-09
2009-09-28,Lions Gate Hospital,160,2009,39,09,09-09
2009-09-29,Lions Gate Hospital,129,2009,39,09,09-09
2009-09-30,Lions Gate Hospital,138,2009,39,09,09-09
2009-10-01,Lions Gate Hospital,136,2009,39,10,10-09
2009-10-02,Lions Gate Hospital,126,2009,39,10,10-09
2009-10-03,Lions Gate Hospital,151,2009,39,10,10-09
